#	Tc	i	j	k_{i,j}
100	3	1	1.3784405090274871150087745771346963774656909903985748762810268799099141775235399249262747690486460499460582038946717830264643384808063632121283726317457774570206400093398470530380222812736807483987009e10
100	3	2	9.861062560230462865835136786659035710578740184285558136512286700677700787986885922166861715306313825629044036954819264113657095975659742828599586774757205453235118942609508374482411643742146790994239e10
100	3	3	-1.171740729622762985906628154063197302355930530326520301805563192096951939773827101410279956748757396926812628900903731631510981941406646525491492623687008285478114437216414731897541531045140893911561e11
100	3	4	-3.152764871200882538637093965150053511023290185834108504749477850036380790918637988814362744066046228570457660726498915632514432504585861722783030384791132827274648569930611030613702150984264824592e-19
100	3	5	4.0699964499229185971921106790369637810336879764666665763139826037744992895547450678593073080431701110832347637719107153689775180497434253574830250815983353636687825037147050203090532601039740996431e-17
100	4	1	-3.3182392125982416280139087457671684677076166566593016507978067669712677227561206019940512688319421688341269538934032473732474217512083265915714052682220151840132846896078858535401720805001961507558e-8
100	4	2	-4.6114754445020724988882065757081212672282810390717867624929336172770718885635511106589144327378334497575352836334208541314945375108573445432303500418073388030470173800824414038069441921656076843982e-7
100	4	3	1.5421709006794152609159894323471841032565395300467463336931010990478591566511228665926817981681705102980385043147107384424821833825268106462332912996114259874215467896657093604479733379950799922883e-6
100	4	4	-3.380809359960621138243953819090543665985120478724701677363850337174623377274448971107149253195290113170630929242896315081118407161716567698535314461017700188165581568277798592909023723263510038080191e10
100	4	5	1.735396235832587248019952712893126041735574240333572111947047939997956714374928923452161990169738759505009348731717663381381546690633299754144725361431773379860344852795390730533660983398690324857021e11
100	5	1	2.1207737349299277556908733685416676029981891357356167059885770598835681735624243095939202143521209537988705656112890364010155004882492814684507049761650319049734653406399739022166239159207731194876e-8
100	5	2	1.155086171617365961373805744670092578281231294358943984106776393104799304900618257127548559530768838620306877880581013158812904222204570173810282427782980571694538426969167819640171132549789596823e-7
100	5	3	1.38659080754640630875905136214724999646616182655743595484306144573547725271811612105047276459184981074980293783414345105256680355292927552680985838692700596212920663940091458802624229086581475049744e-6
100	5	4	3.380809359960621138243953819121833941796184454421045355766881751304150944932093619097901370829284446740878027650057436897436718321607012488128316652132652949995134562232901069576670729624926374316414e10
100	5	5	-1.735396235832587248019952713276131939470483429620396861090896254256916702823685636787769272755301186388205689980869202380286250475518448685085070718318133494365363332978089290839580932536018118045617e11
150	1	1	-4.509849174384990636962745551300075190435909567651284592697278125849423212362903735668816284215663498806659460500514900383215450053604289771456668441209746638431629766927914740388191587132875339408803e10
150	1	2	3.323167400333944746497845510638281799470502925186413615851560592094238241872800318961474572623055957844374472669638299524415035592117631801799905821224468248053740022912119204897085595530022499777738e10
