#	Tc	i	j	k_{i,j}
200	3	1	0.000062561599013977438160573356467976287169307988309721154226696214238432147412458779086378927356748285833352577165922293776013733922855713588485083436167669784451467797236387831181474295736768322381839
200	3	2	0.0042621879624376071471032025966775517825408839392929129958559504920176974640877180043347487503859525323711088283271511640411195902699437843077900698202693632186762141056090401662951396471083103443618
200	3	3	-4.28146139708528795657348782851592003534946233093517709024556506541886989669054543158024899325435532503885301416752346803131831577536494686671322954871531771529330497215266068548341532659785888781925e-12
250	1	1	-1.493862503806868924112485461738682695730986091157188308145435156023189993686593530518893945251996787555788738190363626885022509498984013214620846443390832247015250545346112551221408587016537882763924e11
250	1	2	9.94170987500421189596974410403460758705224558608150783498450327090707179357961794730979582408254903986247293094987268342821269689541475383786736443046215058125840211730275863922008166346729922647235e10
250	1	3	9.820143683466559928610990968108162601666613865189067137297056260664910634225879205919624870812085838593979448712015281257508487668977366557962323426708206272878363194500072713364304002245042826354e-12
250	2	1	1.493862503806847463502351145837467845706980767084303871629219242760708386582085524822146549126329539891062727737220643500115409678238126281650642520920560036153395249899971559667967448014836222160137e11
250	2	2	-9.94170987501183446712943961138652112790371921963717015335794881917799671762405000490015714380079451447311699804637263209377060791425658682607893805754563026185007687036780777916303544046719535811825e10
250	2	3	5.24115261573007600573553999390400353983517422689992272481672434681491168251631859054944001075215403665443384439767153105872220584071418825922403840222090425430358515667696340765821660442792416421145e-10
250	3	1	0.00214606101343159012148500240053240728844365162159132624816071045080056967473961256672476647260104531429833849070998207458869329702039224702722108618552954461409915534411390017016606037870498081814673
250	3	2	0.0762257115969550735191354085147363355566231837344554827092492404443205759036131971824547461064406709649994866555791101884183298821157362708347968059167475306504913994295377699989613164590031032940963
250	3	3	-5.33935405256474160502164990358508516585184036555181339618969490942156078885857738260863625946027489504037363888479168387129729071740396192480366163648798631703236878862196413479185964445037459247499e-10
