6	1	2.1134367211676934039978854236791868753581740317912573064444773249953449380134267348324088879706427587328635313794037677274695195074417225276343174831317816631558082065912850446626963822900343917322751e11
6	5	2.1826882808801877926024298249558792365662065938424498429336543433554094643025287714290523349263345945685355564880466265977119508313209114143613623851593000796851031793857933984235224934778498492454259e10
6	7	9.3730380459757594195552231743616093490079063595255680729004715424764623039769639641280559719870878133693389045673416578188576791671080331668103779472409767983170867278265233542808336429215615063976996e11
6	9	3.4286240780805810462607711185265054237743789541125183011518799984790116508611209513826821189972680795487049567114375188458102013486413908189693794703375751321123274880090134949188985260897845357036018e11
6	12	7.1818498943185462650308240350881780004448963817939158021388844348197992225770937584034796121306853555792883494146681440834255306934442995523037400854678282190641147520228915956220536217965901188662834e10
7	1	2.6422421293185400311768623220015465424964171106975431864861396470084845099011057398414543477878898799509888495856494188349642831772516620131630216589759991902135279950094970713586333204776804615171275e11
7	6	9.0305974998502782231893841002922907357553416550964493100149054818957455206279042732835066769043812040346899605021488393918056576226284237360384381806296125417149479493327373762002208532166323561763886e11
7	9	2.9543659876416019692114921391270114516697416545193966909085784549878378890995021182753859383569754046297073876538651000371469502996330623680068861573099705784614688555564848949767138487216271072207038e11
7	10	3.1668730659616490123489777024197490095192541508473254227551529900063890396857221937673277066227608729913761227979586676246183083078185273472439128152185339407019370464262905893212331993101725064545221e10
7	11	3.5409707420221950269719906611825056838603364317261435986199055535346671658865153181889486465427886277823887486186252830793474929416564173749951486129267157638058502538039398882139981589430455863363235e10
8	0	1.3521426799661924763738092407762112094702967736962755237889603399811589203914317178447960511528505872646119290544756876646659059041687643270026765973484554025699538744114851622388260262193462671228553e11
8	2	3.0511725068794642335361527982621539034253719926182927276130277773486859148344547257095702244011857696666208886516429036405881949988080761905390319390586207963697757105782922878058647219761240229406357e10
8	3	8.9788287329113162610785822593340760796039379129035832521614475898458741012256090829037352430968409479429006237693010193062219679890412129231804949761163405344253104678900745420659637372934240555031188e10
8	4	1.732387855846003276528849659350498713107746231284249218273085893988417093348422893767604125651394750510677820223945608436879570331868707311011186672508375589830803381338315421388719915370591435254258e11
9	2	2.3630936380766039768847798114851158378377734218699887229250483023107943104270717658340189715972692765824748498373296115310029219005077696122465378693413542049176538829842618555497940297361182899177884e11
9	4	3.6967920123414782394966743131668868899539756761160752759985495621100581487921714693265052624479018095414603486569527603613487120600618170632665464290673625255195128354318454903536512823718476363289888e10
9	6	1.4034159736518950473192605197068699817048294941148622695854944591941465277444889352412221445171946997299844315055071246405155133279669567751327471400209368686117777021856250516794430923749424654172446e11
9	7	1.2551474076174876414648150422123543438757833899402819939735818252130626756549826575376149297870751239097134128077361510252572510304833958243723548508854029462459699776361398481784398231260366064421236e11
10	0	5.137611709605304230611861741813399755934908267816107592361850031933171225342058011118220501251803619345084675577258650215182348807304558892722762043100482325395561888216683578384074299663005759723337e10
10	4	3.3033605406877098771192442736176698905296131150443511918848668708447173057994592130772255928084831436694936064403318521581307715929610245087427847246334525118299112749340921900209226094722232681098746e11
10	5	1.6904638393348281340268816318520931823880244557226995228588326828486000760906851015407568593264722408452909246162285522386183014666888500841239663870186811943474034349448642195151796441792210937279538e11
10	7	2.4405257743428180648684625209958768551536014457028756700088532626671714819579573009451365162343782621714374557482879940033147874632387668941187947797602963171023198642868400773652206536816690263574907e10
10	11	1.4422065265996941059939740563746796402179198788221640534823695553922218112165203676329322231107793292370348756077211562590921371920728586337994565392065911471030048237864156589285077150127936330859906e9
10	12	6.6999253251342961836526216408589587596420432836296794695689412201540308552303282932380861016496542104675812298755380553450239003442384504549501260908214859468520013711419492128250439189567961470974455e11
11	3	8.6939516391035266265914105351849104805679028253348277938632732035481524868388148351335609477918972747624287272960826355949210922621674266160858510931615731655163623267813335576880192402259566792151353e11
11	5	5.7731705341684758513377538314751699455688844045786361541038460538024364025788563806887099996482884539578853785145079225673384697505649161039276027753296970664096086102366735426500931675411452493792281e11
11	7	2.7288212006295908700885248506714437604142262986736551989189958402039032221131096905988590805375921194157371393290081104818295542755193860214884758517565625043340683638568785559206347843547559926872431e10
11	10	1.4422065265996941059939740563746796402179198788221640534823695553922218112165203676329322231107793292370348756077211562590921371920728586337994565392065911471030048237864156589285077150127936330859906e9
11	12	1.2092910522261797579284000655953363393675703116882370539293729797917904309588097705973287310243678602489894636935434759038260118156565773781140790712806239096571525779188518900698306180672860885939586e11
12	0	1.961830405208093921207022540813207193473867028109024706330920872459345080953001866516372451712733670430123234976658160801305978933994429404352952079209341310520691439970625901701266667534905667777126e11
12	4	1.8901556427597039629534811983735782689827387882735495913713458397521016400196226118465766391400647591785533239985267964013915700488507832118424440418168543007961099656058100886397727983276025375328072e11
